,like_count,caption,comments_count,media_product_type,media_type,media_url,permalink,id
10,24,"Happy Easter! May this joyous occasion bring you peace, love, and happiness.

#EasterSunday  #easter2023 #easterholidays #wishes202#easter #easter2023 #easterholidays #wishes202 #peace",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/FF4B310AEA19905E8F9EABB592B95EA2_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=103&vs=1696117234238188_2350147030&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9GRjRCMzEwQUVBMTk5MDVFOEY5RUFCQjU5MkI5NUVBMl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0tXclVCUVlaRFFFTER3REFJY01MUWpCX3hkb2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmgr%2Frtuqe9z8VAigCQzMsF0Ao3752yLQ5GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfB8nLJDxqdFyCR2kmcEGx4YL3ZhPkIVV7unfwBPfyLWvQ&oe=645BE35F&_nc_sid=ea0b6e&_nc_rid=f549faeb66,https://www.instagram.com/reel/Cq0Yaq0scEK/,17991192517819675
11,18,"May the blessings of the day fill your heart with peace and joy.

#goodfriday #peace #love",0,FEED,IMAGE,https://scontent-maa2-2.cdninstagram.com/v/t51.2885-15/339848621_206862285312955_5527806359368214599_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=79YuCMZ3ECwAX_rcpRy&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDKQAw8pVWbCnEAvzNS-GdYO75K3LhRt1r60X6aXOV7Lw&oe=645E837C,https://www.instagram.com/p/CqvF7MesvsU/,18017001397545937
12,17,"We would like to express our sincere gratitude to all our valued customers in the life science industry who have been tirelessly promoting health, ensuring safety, and serving the vulnerable. Your efforts have helped people all around the world to achieve the highest possible level of well-being.

Furthermore, we would like to extend our warmest congratulations to the WHO on their 75th anniversary. Their remarkable efforts over the past seven decades have significantly improved the quality of life for many people. This milestone also provides an opportunity to inspire action towards addressing the health challenges of both the present and the future.
Together for a healthier world !!

#health #safety #wellbeing #WHO75 #WorldHealthDay #HealthForAll #HealthyLiving",0,FEED,IMAGE,https://scontent-maa2-2.cdninstagram.com/v/t51.2885-15/339797833_249418954103636_3548784720293194625_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=bZf3EM-v_qoAX-yGui0&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAU0MN3c_gfgCvfM5jO5YQrKSyxsAfrnHgtbElIpQ0XHg&oe=645FB742,https://www.instagram.com/p/CqvCe5DNZyX/,17996886337751786
13,87,"Agilisium sponsored 5 student’s complete UG program for the year 2021-2023. These students are from economically weak / parentless / single-parented background.
 
With the objective of encouraging underprivileged students to pursue further studies, Agilisium partnered with teameverestngo to implement the Scholarship program. 

Thanks to their team for identifying the right beneficiaries and providing all the skill development training to the future Change-makers.
 
#csr #volunteering #ngo #scholarship #skilldevelopment #csrindia #csrcommunity",5,REELS,VIDEO,,https://www.instagram.com/reel/CqdXCJAj-QS/,18334267894068965
14,51,"Disability can never be a barrier for anyone to achieve. Inspiro awards is one such platform to recognise amazing talents and pave way for a better world. 

This 2nd edition was a great milestone for us and we invite Corporates to join us in creating a ripple effect.

#awards #recognition #achievement #csr #volunteer #ngo #speciallyabled",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/834BE6E358A1A85A44057D850AFF8B84_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuY2xpcHMifQ&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=104&vs=599764598739432_4011694178&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC84MzRCRTZFMzU4QTFBODVBNDQwNTdEODUwQUZGOEI4NF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0lDV21BQzI0TVF4dlg4R0FJNVQ2ZERNd1RzRmJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmhvW5xYyM6D8VAigCQzMsF0CRAqsCDEm6GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBNwDtrgZ7eRcAWrxUa1vvEcEvmMQTb3XlCDuTaDEfs2A&oe=645B6E16&_nc_sid=ea0b6e&_nc_rid=e836129011,https://www.instagram.com/reel/CqYDomZDUan/,17888201816801337
15,97,Discover the 4 major types of data analytics used by businesses to make data-driven decisions! 📊🔍 Join us on Agilisium's Tech Snippets Ep. 3 now! #dataanalytics #TechSnippets #Agilisium #data #datascience,0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/6D40D06DAC266428C25EC0EEE45B4586_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=104&vs=1171619356838323_1565578146&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC82RDQwRDA2REFDMjY2NDI4QzI1RUMwRUVFNDVCNDU4Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0hDYUxoU3VsbDFUb1hzQ0FHRC00TmEtUGV0Q2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmjtGbp%2BzR8j8VAigCQzMsF0BWqgxJul41GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBn-TgWcvVrU1TtNzX3Y0loMw83UhKmm-br8-O63EU4Qw&oe=645BC268&_nc_sid=ea0b6e&_nc_rid=09971ab32c,https://www.instagram.com/reel/CqS3wqTD-SF/,18003217930635185
16,67,"We are proud to attend Asia's largest tech summit, Umagine Chennai 2023.
So many innovative ideas and brilliant minds all in one place! 

Jay Chandran Saranga VijayaKumar Kandasamy Sathish Kesavan 

#Umagine #ChennaiTradeCenter #Inspired #Innovation",0,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t39.30808-6/336914536_954535135691480_5557144868996467273_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=N-RbHEAnI7sAX99Erah&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDkSIc8Xu5W5t9CN6ZtssFdR5rQByZG9vKJ6VTL45qReQ&oe=645F1A22,https://www.instagram.com/p/CqMp0WpJy42/,18278311297119641
17,29,"umaginechennai serves as a comprehensive platform that facilitates the convergence of policymakers, researchers, emerging technologies, corporates, leading entrepreneurs, start-ups, academia, thought leaders, and skill providers worldwide.

We are delighted to be present at the event, Let's Meet !!

#UmagineCatalyst23 #eSevaCenters #StartupEcosystem #Technology #Innovation #EducationSystem #WomenEntrepreneurs #TamilNadu #ITSector #ConduciveBusiness #Chennai #Growth #Development #Umagine #StartupTN #ITMinister",0,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/330350812_1247509399214302_965656116564164743_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ztIScFqE__AAX8xztiE&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBC_0A20hHzuQYi--dsoQD0GGEye1G7Lhqhu1cqJEqmOg&oe=645F4618,https://www.instagram.com/p/CqKkg7iBGxm/,18002788660651225
18,87,"Happy birthday, S3!! 🎂

It's no coincidence that amazonwebservices launched 🚀 Amazon S3 on Pi Day, because just like the never-ending decimal places of pi, data storage needs just keep going and going and going!

No matter how much data we accumulate, Amazon S3 will always be there to catch us when we fall (and by ""fall,"" We mean ""run out of storage space""). 😃

#awscloud #amazons3 #wishes #dataanalytics #cloudservices #data #amazon hereataws",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/7A4C51FEB07E8FF2BD6B5A91990BDC80_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=110&vs=508917544741332_2646011814&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC83QTRDNTFGRUIwN0U4RkYyQkQ2QjVBOTE5OTBCREM4MF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0g2WkRSUWZ2V0I1SG9BRUFQOG9GWXBhT1o0OGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmqpy%2B35%2FF1j8VAigCQzMsF0AuFHrhR64UGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBruRdDuN-Yjl1bPXUCXwtNO25r-bu8LutER47ZZlb77w&oe=645BC157&_nc_sid=ea0b6e&_nc_rid=e4b45fd47b,https://www.instagram.com/reel/Cpxef8tjA1_/,17997270583706826
19,88,Townhall 2023 was all about #awards #recognition #inspiration #teambonding #teamappreciation,0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/E54C40F38794E2345AE15C6874E8AE8A_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuY2xpcHMifQ&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=100&vs=1256916618560103_76223242&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9FNTRDNDBGMzg3OTRFMjM0NUFFMTVDNjg3NEU4QUU4QV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR05IZTlCUHJOSlk0Vkc4QUFBbG5mZ09DZE1SaGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmvOXmn5qa8D8VAigCQzMsF0BgqJul41P4GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfAAYAZcYhl9PyszmEiGjKZ9DdCC1X2GvONzZBFSMUrrCA&oe=645BEB8D&_nc_sid=ea0b6e&_nc_rid=840b3d5834,https://www.instagram.com/reel/CphKo_ADXPM/,18079631017339271
20,23,"We are excited to share that we've boosted customer retention by 70% for an American mass media house conglomerate through our personalized user recommendations!

By leveraging Amazon Web Services (AWS) capabilities, we deliver unforgettable experiences tailored to each user. link in bio. 

Join us in transforming the entertainment industry and driving smarter decisions through the power of data. 

#CustomerRetention #Personalization #DataAnalytics #EntertainmentIndustry #Transformation #casestudy #awscloud",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/E840DB719266E240F82520F7C8AC1FB7_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=104&vs=540920448108134_2161036241&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9FODQwREI3MTkyNjZFMjQwRjgyNTIwRjdDOEFDMUZCN192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0ZURTBoTVMxV3FRTmtvREFGSVFYZEp6YnBra2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm2OKY5NzX8z8VAigCQzMsF0Ak7xqfvnbJGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCjv-SkfXKP-Y9gw_78GTZLhlpGFWaydslPcKq86us45w&oe=645BBDC2&_nc_sid=ea0b6e&_nc_rid=570e808e20,https://www.instagram.com/reel/Co5Qc59Br_t/,17945130452541236
21,24,"We are Amazon Web Services (AWS)'s advanced data and analytics consulting partner and have helped several globally recognized companies implement cloud and data analytics solutions and save on server licensing costs.

To know more:-link in bio
#dataanalytics #awscloud #datamigration #cloudarchitect #data",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/B84438E9F7481CD32995CF65AFD6A596_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=100&vs=5849123898496622_2900767014&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9CODQ0MzhFOUY3NDgxQ0QzMjk5NUNGNjVBRkQ2QTU5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0VnenNSUExqRVhKS3JvQ0FPNGoydW5jOVlaOGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm4oLSweqG2T8VAigCQzMsF0Aw564UeuFIGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfDgrSC-RX54U6TJ4z5tmtK1hYZqicofiFtaMF8T7z1gMA&oe=645BC29C&_nc_sid=ea0b6e&_nc_rid=609d79b0b7,https://www.instagram.com/reel/Co3-dvCj7_1/,17955960266250975
22,23,"This 2023 accelerate your business goals by leveraging the power of AWS to conveniently shift your data to a high-end cloud-enabled system capable of producing far better insights.

As an amazonwebservices-recognized partner, Agilisium Consulting can help you to set up an AWS database and get through all the phases, from assessment to migration to management and maintenance.

Check out our new E-Book on the best practices for database migration to AWS: link in bio

#database #datamigration #awscloud #dataanalytics #datainnovation #digitaltransformation #businessintelligence",0,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/584BA381BC1EF8E3B1EFF55282352497_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=102&vs=886456105996438_1295867189&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC81ODRCQTM4MUJDMUVGOEUzQjFFRkY1NTI4MjM1MjQ5N192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0wyMm14UGpRVjBTdHBBQUFDbDliU0tmTTdvUmJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmlNOmpc355z8VAigCQzMsF0AzMzMzMzMzGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCI5r2J7SeQv-IqN2TU0xVvd23T9ZVhNkfoPVFXBwlV6w&oe=645B638A&_nc_sid=ea0b6e&_nc_rid=e43fac9e6d,https://www.instagram.com/reel/Coo3shfBy03/,18045284419408897
23,136,"Townhalls are an amazing medium for the employees and leaders to come together as a team, engage in open conversations, share updates and successes, that have risen along the year. Agilisium takes the privilege in hosting Balachandran Hari, CEO, ICT Academy in Annual Townhall 2023.",0,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/329594839_2509691442503316_695943117645941544_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=n9dyCQS_CxIAX_tzLZh&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBV_jIuhb_2S3_YbHyHPsd38_8upMw5JYS9rq4gWXqXTA&oe=645FEB68,https://www.instagram.com/p/CoXBow7hvMP/,17933928833621701
24,108,"Here's a glimpse of 2 day - Agilisium's Annual Strategic meet. Crafting the perfect insights to ideate, question, collaborate, motivate and innovate for the year 2023.

#newyear #newmonth #newgoals #leadership #leadershipmeeting #organization #organizationdevelopment #growth2023",3,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/AF476E6CDDCC5836A45C6457EFFDD694_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuY2xpcHMifQ&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=105&vs=944921729840274_385899308&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9BRjQ3NkU2Q0REQ0M1ODM2QTQ1QzY0NTdFRkZERDY5NF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0JlRml4UFFnNEZUVkpRQ0FFcWJzYXhaeU8xY2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm%2FsLa35%2Fr2T8VAigCQzMsF0BhkhR64UeuGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCWNBEGdqg_R3TxKiqFSl39n-PNyCYbb7p-n7eFUp2ftA&oe=645BA15D&_nc_sid=ea0b6e&_nc_rid=4ba2a3c7ee,https://www.instagram.com/reel/CoFROaFDzw3/,17981805820770783
