,id
0,18276019384190032
1,17962404812261069
2,18204651619244894
3,17969529302119541
4,17951815298578485
5,17975922701005340
6,17948205518601991
7,18182191855301225
8,18034506853453873
9,18089408371317547
10,17998804321639527
11,17896775459688969
12,17996776486644862
13,17965262990320932
14,17962152425486729
15,17980584979800120
16,18000676963609096
17,17863188350830759
18,17949135620445157
19,17980475041848091
20,17925839375625869
21,18230240650081909
22,18089786845308522
23,17936071406589740
24,17898391271720935
25,17962906022156039
26,17940994841370360
27,17991254503650983
28,18015765544491410
29,17997941506584335
30,17987344474673208
31,17994994342606127
32,18258068998137000
33,18331040356065072
34,17966640875072395
35,18038862205401732
36,18192596737233071
37,18267113311109353
38,17987601010722757
39,17961833420136174
40,18082902151325220
41,18199875610175746
42,18001967062530867
43,18209019184201790
44,17943658433423263
45,17963409425098558
46,17943805472435867
47,17958331562280077
48,17975486290880936
49,17933630309425956
50,17973244273822527
51,18137788642304306
52,17982466645696087
53,17954472386224338
54,17965389296058161
55,17877074963727910
56,17934764279397100
57,18190286521234514
58,17981151322738874
59,17931081647535356
60,17971210846800060
61,18230458432158258
62,18299683615079692
63,17960166242120781
64,17976779434712979
65,17949876137507833
66,17973883303870178
67,18046425853374710
68,17951357285262522
69,18255715234136382
70,17960420315084471
71,18262006816100099
72,18183760429223536
73,17972997217853191
74,17914880591635911
75,18220850923094856
76,18326897794021403
77,18253344172189016
78,17966539231844139
79,17954449406184209
80,18153969970274008
81,17998712764532694
82,17919243005628119
83,17942630342408101
84,18025905472426385
85,17997624673549382
86,17844008339880226
87,17972901403852487
88,17949089495473842
89,17847738629868493
90,17961496334072216
91,18048603550370496
92,17862771404813068
93,17970305017787657
94,17938527524445175
95,17924699048499234
96,18019255582412067
97,17856868469800373
98,18191085754214477
99,18159854578270631
100,17968906855800440
101,17958416599976051
102,17860295390790870
103,17990037589605517
104,18078797461313660
105,17933559746362076
106,17956143455159522
107,18082034326308140
108,17967856852823931
109,17856177032835449
110,17997964210491082
111,18188771164209621
112,18324779863003859
113,18020752651441894
114,18296888470072877
115,17964134512878057
116,17950877294092729
117,17937403790518373
118,17953666742286091
119,17912117483638153
120,17955333131140063
121,18327159529046889
122,17976350965744528
123,18321664099062418
124,17893958060685243
125,17927273243466324
126,17955309860131550
127,18195331531172680
128,17947095491501275
129,17991880396566200
130,18235621000177329
131,18051327382360418
132,17976008155763576
133,17967617488790175
134,17983360684590944
135,17978678128690284
136,18253087534186277
137,17872745027717817
138,17941340330361614
139,17953972099977095
140,18220431250156490
141,17933352110398111
142,17967992683764703
143,17954371030976374
144,18239673145190770
145,18123981085303804
146,17950565825070179
147,17985705385559460
148,18312344305051878
149,17958767815926372
150,17941415441233349
151,17867304992753905
152,17957358220791397
153,18003181393457230
154,17925963587406802
155,17933384684181466
156,17914073237543246
157,17976594958608662
158,17927850110421499
159,17913560366571328
160,18207194422090991
161,17845183640805750
162,17958311644879966
163,17919366713525019
164,17912865275452660
165,17914595846404836
166,17867379731684127
167,17934095519237198
168,17926833545506159
169,17915184869376958
170,17967742282590214
171,17961145984638995
172,17923079576350503
173,17928078107215481
174,18294158674031470
175,18164046751228825
176,18288655408060222
177,18292190545003048
178,17920853309490589
179,17980476181467329
180,17927574386211289
181,18294946621032606
182,18195081562093516
183,17922163052487469
184,17997928387437147
185,17946975583760195
186,17956573648732508
187,17945028040808973
188,17946846814764617
189,17925455120200487
190,17973296461527802
191,17982422353491766
192,18222786196143213
193,17914653848391410
194,17929520420158609
195,17912814092321654
196,17917450871468727
197,18032693164342458
198,17877093749650630
199,18218461156184236
200,18007943395398884
201,18197326396194881
202,17850269933741191
203,17921728898147549
204,17932983089098371
205,17928392147155035
206,17943309634802144
207,18120195628284653
208,18201917707151983
209,18212067595121579
210,18011346661381286
211,18210687682134480
212,18033523195338186
213,17935199564022203
214,17865260489650877
215,18284975506018169
216,17920643930152198
217,18286016122054727
218,17941219126817455
219,17916197393220497
220,18284836231027427
221,18000257131414811
222,17981087317490327
223,17872147562659049
224,17893298519596151
225,17952678250684153
226,17904396137394366
227,17950192939740862
228,17953892536674030
229,17901256211527138
230,17903618225418223
231,17933984276076750
232,17921332484198953
233,17962806064537866
234,17948615197751564
235,17939377099931971
236,17905657589355652
237,17855258297710016
238,17911192442399266
239,17939048425930055
240,17974489885506191
241,17985542614459383
242,17913345323269067
243,17922129776237110
244,17988628015446038
245,18130070845255762
246,17910513056304331
247,18281471632032156
248,17932842329008457
249,18124892935264954
250,17894280488573806
251,17919308759132323
252,17845595009738184
253,17908859327438952
254,17934413266988271
255,17922197651084575
256,17913539159366414
257,17924643272171518
258,17882746337558479
259,17979212221445616
260,17899593194462028
261,17915948531188658
262,17941863721852804
263,17939342788814740
264,17904189785359247
265,17919897974119989
266,17918934515264418
267,17917448885158406
268,17940419317778101
269,17891690909591351
270,17961933013575934
271,17986084123426010
272,17952083803724231
273,17938915753803570
274,17998517314410705
275,17903365352377851
276,17920374512205910
277,18218906698113785
278,17953427107717827
279,17845209980735734
280,17918751191261855
281,17940256423778133
282,17913639614484443
283,17980045441474374
284,17930721140064471
285,17930680229075144
286,17945347525771241
287,18003847048403117
288,17945794726813094
289,17903830517517436
290,17941634449859220
291,17980678702476772
292,17930900734922138
293,17924366417166258
294,17913221852347233
295,18125666881256912
296,17940688657851093
297,17945260108700656
298,17872343516646656
299,18001115509396616
300,17980786087464926
301,17952887176639482
302,17850863330717497
303,18268494385069311
304,18153048313224778
305,18285402331037465
306,17915748845168360
307,18033014074330419
308,17924793272127593
309,17907959930399641
310,17920872641288197
311,17921821871295104
312,17932851223975630
313,18024297568348495
314,17915345207169368
315,17939515045870405
316,18029536942337760
317,17964704869556347
318,17939532523882733
319,17979058270472440
320,17936348656901241
321,17895538550485856
322,18146032177223105
323,18033001258330985
324,17919458192213839
325,17857470122668473
326,17952097906632318
327,17876197733592089
