end_time,value
2023-07-04T07:00:00+0000,0.0
2023-07-05T07:00:00+0000,0.0
2023-07-02T07:00:00+0000,0.0
2023-07-03T07:00:00+0000,1.0
2023-06-30T07:00:00+0000,0.0
2023-07-01T07:00:00+0000,0.0
2023-06-28T07:00:00+0000,0.0
2023-06-29T07:00:00+0000,2.0
2023-06-26T07:00:00+0000,1.0
2023-06-27T07:00:00+0000,0.0
2023-06-24T07:00:00+0000,0.0
2023-06-25T07:00:00+0000,0.0
2023-06-22T07:00:00+0000,0.0
2023-06-23T07:00:00+0000,1.0
2023-06-20T07:00:00+0000,0.0
2023-06-21T07:00:00+0000,2.0
2023-06-18T07:00:00+0000,0.0
2023-06-19T07:00:00+0000,0.0
2023-06-16T07:00:00+0000,0.0
2023-06-17T07:00:00+0000,0.0
2023-06-14T07:00:00+0000,0.0
2023-06-15T07:00:00+0000,0.0
2023-06-12T07:00:00+0000,0.0
2023-06-13T07:00:00+0000,0.0
2023-06-10T07:00:00+0000,0.0
2023-06-11T07:00:00+0000,0.0
2023-06-08T07:00:00+0000,0.0
2023-06-09T07:00:00+0000,0.0
2023-06-06T07:00:00+0000,0.0
2023-06-07T07:00:00+0000,0.0
