Date,Hours,Value
2023-06-13 07:00:00,20,274
2023-06-13 07:00:00,21,325
2023-06-13 07:00:00,22,310
2023-06-13 07:00:00,23,310
2023-06-14 07:00:00,0,338
2023-06-14 07:00:00,1,337
2023-06-14 07:00:00,2,304
2023-06-14 07:00:00,3,304
2023-06-14 07:00:00,4,319
2023-06-14 07:00:00,5,316
2023-06-14 07:00:00,6,335
2023-06-14 07:00:00,7,352
2023-06-14 07:00:00,8,389
2023-06-14 07:00:00,9,425
2023-06-14 07:00:00,10,377
2023-06-14 07:00:00,11,205
2023-06-14 07:00:00,12,81
2023-06-14 07:00:00,13,41
2023-06-14 07:00:00,14,28
2023-06-14 07:00:00,15,25
2023-06-14 07:00:00,16,32
2023-06-14 07:00:00,17,96
2023-06-14 07:00:00,18,178
2023-06-14 07:00:00,19,213
2023-06-14 07:00:00,20,296
2023-06-14 07:00:00,21,314
2023-06-14 07:00:00,22,325
2023-06-14 07:00:00,23,321
2023-06-15 07:00:00,0,340
2023-06-15 07:00:00,1,337
2023-06-15 07:00:00,2,322
2023-06-15 07:00:00,3,316
2023-06-15 07:00:00,4,322
2023-06-15 07:00:00,5,321
2023-06-15 07:00:00,6,323
2023-06-15 07:00:00,7,333
2023-06-15 07:00:00,8,350
2023-06-15 07:00:00,9,402
2023-06-15 07:00:00,10,348
2023-06-15 07:00:00,11,198
2023-06-15 07:00:00,12,96
2023-06-15 07:00:00,13,44
2023-06-15 07:00:00,14,30
2023-06-15 07:00:00,15,20
2023-06-15 07:00:00,16,36
2023-06-15 07:00:00,17,81
2023-06-15 07:00:00,18,169
2023-06-15 07:00:00,19,225
2023-06-15 07:00:00,20,285
2023-06-15 07:00:00,21,303
2023-06-15 07:00:00,22,325
2023-06-15 07:00:00,23,316
2023-06-16 07:00:00,0,312
2023-06-16 07:00:00,1,326
2023-06-16 07:00:00,2,346
2023-06-16 07:00:00,3,322
2023-06-16 07:00:00,4,308
2023-06-16 07:00:00,5,322
2023-06-16 07:00:00,6,343
2023-06-16 07:00:00,7,356
2023-06-16 07:00:00,8,367
2023-06-16 07:00:00,9,387
2023-06-16 07:00:00,10,347
2023-06-16 07:00:00,11,233
2023-06-16 07:00:00,12,120
2023-06-16 07:00:00,13,39
2023-06-16 07:00:00,14,27
2023-06-16 07:00:00,15,16
2023-06-16 07:00:00,16,38
2023-06-16 07:00:00,17,74
2023-06-16 07:00:00,18,140
2023-06-16 07:00:00,19,214
2023-06-16 07:00:00,20,267
2023-06-16 07:00:00,21,321
2023-06-16 07:00:00,22,323
2023-06-16 07:00:00,23,311
2023-06-17 07:00:00,0,334
2023-06-17 07:00:00,1,327
2023-06-17 07:00:00,2,324
2023-06-17 07:00:00,3,322
2023-06-17 07:00:00,4,303
2023-06-17 07:00:00,5,316
2023-06-17 07:00:00,6,335
2023-06-17 07:00:00,7,357
2023-06-17 07:00:00,8,372
2023-06-17 07:00:00,9,407
2023-06-17 07:00:00,10,341
2023-06-17 07:00:00,11,226
2023-06-17 07:00:00,12,122
2023-06-17 07:00:00,13,52
2023-06-17 07:00:00,14,29
2023-06-17 07:00:00,15,31
2023-06-17 07:00:00,16,43
2023-06-17 07:00:00,17,55
2023-06-17 07:00:00,18,125
2023-06-17 07:00:00,19,207
2023-06-17 07:00:00,20,256
2023-06-17 07:00:00,21,290
2023-06-17 07:00:00,22,320
2023-06-17 07:00:00,23,330
2023-06-18 07:00:00,0,320
2023-06-18 07:00:00,1,303
2023-06-18 07:00:00,2,317
2023-06-18 07:00:00,3,310
2023-06-18 07:00:00,4,301
2023-06-18 07:00:00,5,317
2023-06-18 07:00:00,6,357
2023-06-18 07:00:00,7,344
2023-06-18 07:00:00,8,330
2023-06-18 07:00:00,9,385
2023-06-18 07:00:00,10,338
2023-06-18 07:00:00,11,222
2023-06-18 07:00:00,12,94
2023-06-18 07:00:00,13,34
2023-06-18 07:00:00,14,25
2023-06-18 07:00:00,15,33
2023-06-18 07:00:00,16,38
2023-06-18 07:00:00,17,80
